"English","Chinese (ZH)","Malay (MS)","Japanese (JA)","ID","Page","Section","Never Translate","Review Flag","Notes"
"Lexis Hibiscus 2","Lexis Hibiscus 2","","","global.logo","Global","Header logo link text","Y","","Brand name — identical in every language"
"Toggle menu","切换菜单","","","global.nav_toggle_aria","Global","Mobile nav toggle aria-label","","",""
"Villas","别墅","","","global.nav.villas","Global","Header nav link","","",""
"Rental Programme","租赁计划","","","global.nav.rental_programme","Global","Header nav link","","",""
"About","关于","","","global.nav.about","Global","Header nav link","","",""
"Contact","联系我们","","","global.nav.contact","Global","Header nav link","","",""
"Language","语言","","","global.switcher_aria","Global","Language switcher aria-label","","","Currently shipped untranslated (still says ""Language"") on live /zh/ pages — flagged bug to patch retroactively; use correct localized value here going forward"
"Skip to content","跳至内容","","","global.skip_link","Global","Accessibility skip link","","",""
"Book a Private Viewing","预约私人参观","Tempah Lawatan Peribadi","プライベート内覧のご予約","global.cta.whatsapp_primary","Global","CTA button (data-text-key=whatsappPrimary) — WhatsApp button in nav/hero/sticky/float/final CTA on every page","","Y","Locked CTA per master doc §5. MS/JA pre-filled from the master doc's own official drafts. Lives in js/site-content.js buttonText.whatsappPrimary + every page's static [data-text-target] fallback span — both must match"
"Request a Callback","预约回电","Mohon Panggilan Semula","折り返しのご連絡を依頼","global.cta.request_callback","Global","CTA button (data-text-key=requestCallback)","","Y","Locked CTA per master doc §5. MS/JA pre-filled from master doc drafts. js/site-content.js buttonText.requestCallback"
"Request a Viewing Callback","预约参观回电","Mohon Panggilan untuk Lawatan","内覧のご案内を依頼","global.cta.form_submit","Global","CTA button (data-text-key=formSubmit) — lead form submit button on villas/rental-programme","","Y","Locked CTA per master doc §5. MS/JA pre-filled from master doc drafts. NOT used on contact page (see global.form.submit_contact)"
"Quick contact","快速联系","","","global.sticky.aria","Global","Sticky mobile bar aria-label","","",""
"Enquire","咨询","","","global.sticky.enquire","Global","Sticky bar secondary link (plain, non-CTA) on /, /about/, /disclaimer/, /privacy-policy/","","","Links to /contact/ (language-equivalent). Distinct from the ""Request a Callback"" CTA used on other pages"
"Lexis Hibiscus 2","Lexis Hibiscus 2","","","global.footer.brand","Global","Footer heading","Y","",""
