"English","Chinese (ZH)","Malay (MS)","Japanese (JA)","ID","Page","Section","Never Translate","Review Flag","Notes"
"Lexis Hibiscus 2","Lexis Hibiscus 2","Lexis Hibiscus 2","Lexis Hibiscus 2","global.logo","Global","Header logo link text","Y","","Brand name — identical in every language"
"Toggle menu","切换菜单","Togol menu","メニューの切り替え","global.nav_toggle_aria","Global","Mobile nav toggle aria-label","","",""
"Villas","别墅","Vila","ヴィラ","global.nav.villas","Global","Header nav link","","",""
"Rental Programme","租赁计划","Program Penyewaan","レンタルプログラム","global.nav.rental_programme","Global","Header nav link","","",""
"About","关于","Tentang","について","global.nav.about","Global","Header nav link","","",""
"Contact","联系我们","Kenalan","お問い合わせ","global.nav.contact","Global","Header nav link","","",""
"Language","语言","Bahasa","言語","global.switcher_aria","Global","Language switcher aria-label","","","Currently shipped untranslated (still says ""Language"") on live /zh/ pages — flagged bug to patch retroactively; use correct localized value here going forward"
"Skip to content","跳至内容","Langkau ke kandungan","コンテンツにスキップ","global.skip_link","Global","Accessibility skip link","","",""
"Book a Private Viewing","预约私人参观","Tempah Lawatan Peribadi","プライベート内覧のご予約","global.cta.whatsapp_primary","Global","CTA button (data-text-key=whatsappPrimary) — WhatsApp button in nav/hero/sticky/float/final CTA on every page","","Y","Locked CTA per master doc §5. MS/JA pre-filled from the master doc's own official drafts. Lives in js/site-content.js buttonText.whatsappPrimary + every page's static [data-text-target] fallback span — both must match"
"Request a Callback","预约回电","Mohon Panggilan Semula","折り返しのご連絡を依頼","global.cta.request_callback","Global","CTA button (data-text-key=requestCallback)","","Y","Locked CTA per master doc §5. MS/JA pre-filled from master doc drafts. js/site-content.js buttonText.requestCallback"
"Request a Viewing Callback","预约参观回电","Mohon Panggilan untuk Lawatan","内覧のご案内を依頼","global.cta.form_submit","Global","CTA button (data-text-key=formSubmit) — lead form submit button on villas/rental-programme","","Y","Locked CTA per master doc §5. MS/JA pre-filled from master doc drafts. NOT used on contact page (see global.form.submit_contact)"
"Quick contact","快速联系","Kenalan pantas","クイックコンタクト","global.sticky.aria","Global","Sticky mobile bar aria-label","","",""
"Enquire","咨询","Tanya","お問い合わせ","global.sticky.enquire","Global","Sticky bar secondary link (plain, non-CTA) on /, /about/, /disclaimer/, /privacy-policy/","","","Links to /contact/ (language-equivalent). Distinct from the ""Request a Callback"" CTA used on other pages"
"Lexis Hibiscus 2","Lexis Hibiscus 2","Lexis Hibiscus 2","Lexis Hibiscus 2","global.footer.brand","Global","Footer heading","Y","",""
"Port Dickson, Negeri Sembilan — a 5-star resort development by KL Metro Property Development Sdn. Bhd. (Kuala Lumpur Metro Group), operated by Lexis Hotel Group.","森美兰波德申 — 由 KL Metro Property Development Sdn. Bhd.（Kuala Lumpur Metro Group 成员）打造，Lexis Hotel Group 管理的五星级度假村项目。","Port Dickson, Negeri Sembilan — pembangunan resort 5 bintang oleh KL Metro Property Development Sdn. Bhd. (Kuala Lumpur Metro Group), dikendalikan oleh Lexis Hotel Group.","Port Dickson、ヌグリ スンビラン — KL Metro Property Development Sdn. Bhd. (Kuala Lumpur Metro Group) が開発した 5 つ星リゾートで、Lexis Hotel Group が運営。","global.footer.intro","Global","Footer intro paragraph","","","""Port Dickson"" and all company names stay in English per never-translate list; only the descriptive sentence around them translates"
"Explore","快速链接","Teroka","探検する","global.footer.explore_heading","Global","Footer column heading","","",""
"Villas","别墅","Vila","ヴィラ","global.footer.link.villas","Global","Footer link","","","Same string as global.nav.villas"
"Rental Programme","租赁计划","Program Penyewaan","レンタルプログラム","global.footer.link.rental_programme","Global","Footer link","","","Same string as global.nav.rental_programme"
"About the Consultant","关于顾问","Mengenai Perunding","コンサルタントについて","global.footer.link.about","Global","Footer link","","","NOTE: differs from nav's plain ""About"" — footer uses the fuller label"
"Contact","联系我们","Kenalan","お問い合わせ","global.footer.link.contact","Global","Footer link","","",""
"Privacy Policy","隐私政策","Dasar Privasi","プライバシーポリシー","global.footer.link.privacy","Global","Footer link","","",""
"Disclaimer","免责声明","Penafian","免責事項","global.footer.link.disclaimer","Global","Footer link","","",""
"Marketing Credentials","营销资质","Kelayakan Pemasaran","マーケティング資格情報","global.footer.credentials_heading","Global","Footer column heading","","",""
"REN: Wong See How · REN No. 51947 / Agency: Summerfield Property (M) Sdn. Bhd., reg. 200401009891 (648394-W) / Firm registration (LPPEH E-no.): E (3) 1305 / Developer: KL Metro Property Development Sdn. Bhd., reg. 201901040005 (1349335-X)","REN: Wong See How · REN No. 51947 / 代理公司：Summerfield Property (M) Sdn. Bhd., reg. 200401009891 (648394-W) / 公司注册 (LPPEH E-no.)：E (3) 1305 / 发展商：KL Metro Property Development Sdn. Bhd., reg. 201901040005 (1349335-X)","REN: Wong See How · No. REN 51947 / Agensi: Summerfield Property (M) Sdn. Bhd., reg. 200401009891 (648394-W) / Pendaftaran firma (no. E-LPPEH): E (3) 1305 / Pemaju: KL Metro Property Development Sdn. Bhd., reg. 201901040005 (1349335-X)","REN: Wong See How · REN No. 51947 / 代理店: Summerfield Property (M) Sdn. Bhd.、reg. 200401009891 (648394-W) / 企業登録 (LPPEH E-no.): E (3) 1305 / 開発者: KL Metro Property Development Sdn. Bhd.、登録201901040005 (1349335-X)","global.footer.ren_block","Global","Footer REN / legal identity block (4 lines)","Partial","Y","REN name, REN number, company names and registration numbers must stay verbatim in every language — only the field labels (""Agency:"", ""Firm registration:"", ""Developer:"") translate. This is the compliance-critical footer block referenced in §5 as ""keep verbatim"""
"Visit Us: Bukit Bintang Showroom, Kuala Lumpur (open daily, 10am – 4pm) · Lexis Hibiscus Port Dickson Sales Gallery — full addresses on our Contact page","咨询地点：Bukit Bintang Showroom, Kuala Lumpur（每日开放，上午10时至下午4时） · Lexis Hibiscus Port Dickson Sales Gallery——完整地址请见联系我们页面","Lawati Kami: Bukit Bintang Showroom, Kuala Lumpur (dibuka setiap hari, 10 pagi – 4 petang) · Lexis Hibiscus Galeri Jualan Port Dickson — alamat penuh pada halaman Hubungan kami","ご訪問ください: Bukit Bintang Showroom、クアラルンプール (年中無休、午前 10 時から午後 4 時まで) · Lexis Hibiscus Port Dickson セールス ギャラリー — 連絡先ページの完全なアドレス","global.footer.venue","Global","Footer venue line","","","Two venues as of 2026-07-19. Venue names and addresses stay in English/Romanized form in every language (postal requirement + existing convention). Full addresses live only on /contact/, not repeated in the footer."
"Marketing by an authorised real estate negotiator. This is not the developer's official website.","本网站由授权房地产经纪人营销制作，并非发展商官方网站。","Pemasaran oleh perunding hartanah bertauliah. Ini bukan tapak web rasmi pembangun.","認定不動産交渉士によるマーケティング。これは開発者の公式 Web サイトではありません。","global.footer.legal1","Global","Footer legal line 1","","Y","Compliance-adjacent boilerplate, reused verbatim as a disclosure box on /about/, /contact/ and elsewhere"
"Renders shown are artist impressions; final development may vary. This website is marketing material and does not constitute financial or investment advice — buyers should seek independent legal and financial counsel. Information correct at time of publication and subject to change.","网站所示效果图仅供参考，最终发展项目可能有所不同。本网站为营销资料，不构成财务或法律建议——买家应寻求独立的法律与财务咨询。资料内容以发布时为准，如有更改，恕不另行通知。","Paparan ialah gambaran artis; pembangunan akhir mungkin berbeza. Laman web ini ialah bahan pemasaran dan bukan nasihat kewangan atau undang-undang — pembeli hendaklah mendapatkan nasihat undang-undang dan kewangan bebas. Maklumat adalah tepat pada masa penerbitan dan tertakluk kepada perubahan.","掲載されている完成予想図はイメージであり、最終的な開発内容は異なる場合があります。本ウェブサイトはマーケティング資料であり、金融または法的助言を構成するものではありません。購入をご検討の方は、独立した法的および金融上の助言を受けてください。情報は掲載時点で正確なものですが、変更される場合があります。","global.footer.legal2","Global","Footer legal line 2","","Y","FLAGGED: ZH drops ""investment"" and substitutes ""legal"" because 投资 is a banned ZH compliance term (see i18n/compliance-audit-zh.md). Apply the equivalent substitution for MS (""pelaburan"" is banned) and JA (投資 is banned) — see TRANSLATION-TASK.md"
